Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
"""I'd obviously be on my ukulele"" 🎵 / Lenna Gunning-Williams replies to YOUR comments / Admin Lenna",102,2091,6,@jacobbernstein,A Lenna and Charli podcast would be coldddd,7,Tottenham Hotspur Women
"""I'd obviously be on my ukulele"" 🎵 / Lenna Gunning-Williams replies to YOUR comments / Admin Lenna",102,2091,6,@ServingMyJesus,"I will need a support artist when I go on tour.  How about your awesome band being my support?  That is my dream.  Any way, I enjoyed your little video and hope to be there when you score that WSL goal and do your WSL celebration.  My be it will be the winner against Chelsea at the TH Stadium!",0,Tottenham Hotspur Women
"""I'd obviously be on my ukulele"" 🎵 / Lenna Gunning-Williams replies to YOUR comments / Admin Lenna",102,2091,6,@brazilianana,she's such a cutie! love having her on the team 🤍,2,Tottenham Hotspur Women
Graham returns to the pitch // Tottenham Hotspur Women,41,789,4,@Pichael0621,Just did a knee slide seeing this lfg,0,Tottenham Hotspur Women
Graham returns to the pitch // Tottenham Hotspur Women,41,789,4,@jascunnington,Yes Kit!!!,0,Tottenham Hotspur Women
Graham returns to the pitch // Tottenham Hotspur Women,41,789,4,@hackercps,Is Olga leaving for Hammarby? 😓,0,Tottenham Hotspur Women
Graham returns to the pitch // Tottenham Hotspur Women,41,789,4,@jared213,SO glad to have Kit back! one of my fav players in the world,0,Tottenham Hotspur Women
Graham officially back on the pitch // Spurs Women,52,700,2,@MajaSandvik,❤❤,1,Tottenham Hotspur Women
Graham officially back on the pitch // Spurs Women,52,700,2,@MajaSandvik,❤❤,1,Tottenham Hotspur Women
Which team-mate would you let your friend date?  🤔 // Bethany's question,67,1015,4,@OllieL819,Love you girls too cute ❤,3,Tottenham Hotspur Women
Which team-mate would you let your friend date?  🤔 // Bethany's question,67,1015,4,@OllieL819,What about Ash,2,Tottenham Hotspur Women
