Video ID,Video Title,View Count,Like Count,Comment Count,YouTube Channel,Commenter Name,Comment,Comment Like Count
qdM5XdWaoIc,FC Bayern Trainingsauftakt  2016,3069,71,3,FC Bayern Frauen,@dossard15,Haben wir nicht 12 Punkte Vorsprung. Ich glaub schon ;),1
qdM5XdWaoIc,FC Bayern Trainingsauftakt  2016,3069,71,3,FC Bayern Frauen,@leblond1881,"Viel Spaß bei der Vorbereitung, und nicht verletzen ;)",0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@سناباتحوري,حصريا,0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,👆,0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@minnkhant9072,I Love You Sara,0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@MJ-jc2km,"Ich dachte auch anfangs, sie ist hübsch und dann hat sie aber den Mund aufgemacht...",0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@matthewdevereux1288,Sara is gorgeous.,0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@guennicopter,Sie ist hübsch!,0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@ArmaniaBawonKresnamurti,Sara 💜,3
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@ivanrazon3989,Can you put english subtitles please?,2
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,,"Hey Sara, lad mich mal zu einer Challenge ein",0
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@valentinas394,"Ein sehr schönes Video.
Eine ganz Liebe und auch ganz arg Hübsche ist Sara.
Bin hin und weg und schaue sehr gern wenn sie Spielt.",3
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@MysTic4L_Chr1s,tolles Video aber ich möcht mega gern ein Potrait von Melanie Leupolz *_*,1
ZLDjGe5vRXA,Sara Däbritz im Portrait,18436,285,17,FC Bayern Frauen,@MaNu-td1zo,Kochst du gerne(?) Lieblingsspieler bei den Männern(?) .... Sind die Fragen euer ernst? Naja im Süden der Republik geht's halt noch anders zu.,1
JJSZK0RJAqI,Die FC Bayern Frauen wünschen Frohe Weihnachten 2015,2364,75,2,FC Bayern Frauen,@hannabussmann183,"Dankeschön, euch ebenfalls noch frohe weihnachten und einen gesunden, geglückten, frohen start in das neue jahr #2016 mit vielen Überraschungen! Viel Erfolg weiterhin♡ spielt ihr irgendwann mal in Osnabrück? Das wäre supi!",1
mFlG_mzOg-w,"Corner Kings mit Melanie Behringer, Gina Lewandowski und Caroline Abbe",3060,73,1,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,❤️,0
H2KB82qjsEY,Lisa Evans im Portrait,6068,119,6,FC Bayern Frauen,@Timo1194,Sehr sympathisch! :),1
H2KB82qjsEY,Lisa Evans im Portrait,6068,119,6,FC Bayern Frauen,@menace1285,Lebt sie schon länger in Deutschland? Ihr deutsch ist ziemlich gut!,1
H2KB82qjsEY,Lisa Evans im Portrait,6068,119,6,FC Bayern Frauen,@EvanKnoT,Lisa is so awesome <3 hahhaha,4
H2KB82qjsEY,Lisa Evans im Portrait,6068,119,6,FC Bayern Frauen,@hannabussmann183,Gutes Video!,2
z-LF6B9b1n4,Making of FC Bayern Frauenfußball Adventskalender 2015,2619,75,2,FC Bayern Frauen,@womenssoccerunited,Thank you for the great video,0
z-LF6B9b1n4,Making of FC Bayern Frauenfußball Adventskalender 2015,2619,75,2,FC Bayern Frauen,@ellaschuster3498,Sehr cooles Video,0
GV0lvQ4B5Oo,Melanie Leupolz und Sara Däbritz am Ball,5818,168,6,FC Bayern Frauen,@EpicMucQ,Rawr! :D Meine 2 Lieblingsspielerinnen! ♥ ^-^,4
GV0lvQ4B5Oo,Melanie Leupolz und Sara Däbritz am Ball,5818,168,6,FC Bayern Frauen,@Lorddafreak1,Ihr zaubert und verzaubert ;) Sehr nice :D,1
GV0lvQ4B5Oo,Melanie Leupolz und Sara Däbritz am Ball,5818,168,6,FC Bayern Frauen,@ef7409,Melanie <3 _ <3,0
GV0lvQ4B5Oo,Melanie Leupolz und Sara Däbritz am Ball,5818,168,6,FC Bayern Frauen,@brandonquickenden227,Beautiful,1
GV0lvQ4B5Oo,Melanie Leupolz und Sara Däbritz am Ball,5818,168,6,FC Bayern Frauen,@redbullvettel100,Skiller Melly und Sara haben richtig was drauf #Respekt Ich würde das selber nicht schaffen 😊🔴⚪️⚽️,0
64JtrSaUf80,FC Bayern - SC Sand 15.11.15 um 14 Uhr,1753,45,1,FC Bayern Frauen,@jakob3272,es juckt keinen,1
fJedB3A49lg,"Vivianne Miedema, Laura Feiersinger & Tom Wörle nach FC Bayern vs FFC Frankfurt",3051,37,1,FC Bayern Frauen,@taurus2016,"Bravo Mädels, starke Leistung! FFC war aber eher lustlos als einfallslos.P.S. Premiere!!! Viv gibt Interview auf deutsch",0
Jy1WplhHhzM,FC Bayern Frauenfußball Shootout nach dem Training,21391,191,6,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,💗,0
Jy1WplhHhzM,FC Bayern Frauenfußball Shootout nach dem Training,21391,191,6,FC Bayern Frauen,@gabbyc9532,lol the rolls,0
Jy1WplhHhzM,FC Bayern Frauenfußball Shootout nach dem Training,21391,191,6,FC Bayern Frauen,@JazzFunk22,1...28    OG style,0
