Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Napoli Femminile vs Sampdoria 0-2 | Tecla Pettenuzzo - Post match,2,95,3,@PaoloGnarini,"Daje Tecla,forza ragazze!",1,Napoli Femminile
Napoli Femminile vs Milan 0-1 | Highlights,7,878,1,@giobupe4920,Brave ragazze non era una partita facile pero cene aveta messa tutta tenete la testa alta forza Napoli!!!!!,0,Napoli Femminile
Napoli Femminile vs Milan | Alice Corelli - Match preview,7,275,1,@antoniodidonato165,Grand uagluncè 🤩🤩🤩🤩,0,Napoli Femminile
Como Women vs Napoli Femminile 2-1 | Highlights,14,1170,2,@lucaromano8050,Bella rete Napoli,0,Napoli Femminile
Como Women vs Napoli Femminile 2-1 | Highlights,14,1170,2,@volleyballmoment,"Falta puntería nomas
VAMOS NAPOLITANAS",0,Napoli Femminile
Como Women vs Napoli Femminile | Beatrice Beretta - Match preview,3,160,1,@antoniodidonato165,Forz Azzurre 😉😉😉😉,0,Napoli Femminile
#ANEMAECORE - Alessandro Maiello e Lello Carlino sulla promozione del Napoli Femminile,4,249,2,@palcoscenicoeventigraffito9709,Allora sei tornato presidente  raffaele,1,Napoli Femminile
#ANEMAECORE - Alessandro Maiello e Lello Carlino sulla promozione del Napoli Femminile,4,249,2,@lucaromano8050,Bravi forza,0,Napoli Femminile
Tavagnacco vs Napoli Femminile 0-1 | Adriana Gomes - Intervista,10,402,3,@walterborgia7536,"Aver vinto il campionato di serie B, per la terza volta. Vorrei tanto vedervi alzare in alto al cielo, la COPPA ITALIA. FORZA AZZURRE",0,Napoli Femminile
Tavagnacco vs Napoli Femminile 0-1 | Adriana Gomes - Intervista,10,402,3,@AlfiDin67,Complimenti ragazze e ora Serie A x restarci,1,Napoli Femminile
Tavagnacco vs Napoli Femminile 0-1 | Adriana Gomes - Intervista,10,402,3,@lucaromano8050,Brave ragazze,1,Napoli Femminile
Tavagnacco vs Napoli Femminile | Lucia Strisciuglio - Match preview,2,138,3,@lucaromano8050,Brave,0,Napoli Femminile
Tavagnacco vs Napoli Femminile | Lucia Strisciuglio - Match preview,2,138,3,@angelococo5411,Brave❤️,0,Napoli Femminile
Tavagnacco vs Napoli Femminile | Lucia Strisciuglio - Match preview,2,138,3,@lucaromano8050,Forza 💪,0,Napoli Femminile
Napoli Femminile vs Cittadella 2-2 | Highlights,17,1094,2,@sebmalafr,"ragazze vedete di vincere domenica prossima, se non andate in serie A, la mia nipotina Valeria se piglia ""troppo collera!"" ed io questo non ve lo perdonerò!",0,Napoli Femminile
Napoli Femminile vs Cittadella 2-2 | Highlights,17,1094,2,@tonyscinematv,"Ragazze,peccato",0,Napoli Femminile
Napoli Femminile vs Cittadella | Valentina Puglisi - Match preview,4,113,2,@tonyscinematv,😍,0,Napoli Femminile
Napoli Femminile vs Cittadella | Valentina Puglisi - Match preview,4,113,2,@palcoscenicoeventigraffito9709,Se non piove sono con voi forza Napoli femminile,1,Napoli Femminile
Napoli Femminile vs Arezzo 3-0 | Highlights,12,583,2,@scorpion4795,Forza azzurre vincete a saliamo💙💙,0,Napoli Femminile
Napoli Femminile vs Arezzo 3-0 | Highlights,12,583,2,@walterborgia7536,Forza Azzurre,0,Napoli Femminile
"#TuristePerCalcio Ep. 8 - Elisa del Estal, lo spagnolo e il napoletano",14,909,1,@lucaforte5286,Spagnolo Ayer ovvero ieri in napoletano aier,1,Napoli Femminile
Lazio vs Napoli Femminile 1-2 | Giulia Giacobbo - Match preview,8,293,2,@walterborgia7536,Forza ragazze.,0,Napoli Femminile
Lazio vs Napoli Femminile 1-2 | Giulia Giacobbo - Match preview,8,293,2,@tonyscinematv,😍,0,Napoli Femminile
Lazio vs Napoli Femminile | Federica Veritti - Match preview,1,164,1,@brunabuonocore4973,Forza Napoli sempre,0,Napoli Femminile
Napoli Femminile vs San Marino Academy 1-0 | Highlights,12,381,1,@walterborgia7536,❤,0,Napoli Femminile
Napoli Femminile vs San Marino | Melissa Nozzi - Match preview,2,98,1,@lucaromano8050,Forza ragazze,0,Napoli Femminile
#TuristePerCalcio Ep. 7 - Sabrina Tasselli sulle scale del Petraio,16,1097,1,@fairplaycalciofemminile,"Calcio femminile + cultura = binomio perfetto. Sabrina Tasselli grandissima. Ottimo format, bravo Napoli femminile!💙",0,Napoli Femminile
Genoa vs Napoli Femminile 2-5 | Romina Pinna - Intervista,5,154,1,@AlfiDin67,Grazie ragazze Serie A,0,Napoli Femminile
Napoli Femminile vs Hellas Verona 3-1 | Highlights,8,322,2,@tonyscinematv,💙😍,0,Napoli Femminile
Napoli Femminile vs Hellas Verona 3-1 | Highlights,8,322,2,@lucaromano8050,Che grinta ragazze ❤ forza Napoli,0,Napoli Femminile
#TuristePerCalcio Ep. 6 - Giulia Ferrandi a Castel Sant'Elmo,33,1001,1,@paolodm7390,"anche per bombardare i napoletani nella rivolta contro i francesi. Fu una strage...
Ah, la France!",0,Napoli Femminile
#TuristePerCalcio Ep. 5 - Claudia Mauri e lo street food napoletano per celiaci,3,162,1,@Lavoratore977,Quanta spazzatura!!!! Certo che la creatività ormai è arrivata in fondo alla fogna!!!!,0,Napoli Femminile
Napoli Femminile vs Cesena 4-0 | Adriana Gomes - Intervista,5,133,2,@tonyscinematv,😍,0,Napoli Femminile
Napoli Femminile vs Cesena 4-0 | Adriana Gomes - Intervista,5,133,2,@lucaromano8050,Brave,0,Napoli Femminile
Napoli Femminile vs Cesena | Michela Franco - Match preview,1,95,1,@tonyscinematv,😍,0,Napoli Femminile
#TuristePerCalcio Ep. 2 - Giulia Giacobbo a via Chiaia,70,2241,2,@emanuelaleone8728,Come stai,0,Napoli Femminile
#TuristePerCalcio Ep. 2 - Giulia Giacobbo a via Chiaia,70,2241,2,@emanuelaleone8728,Ciao,0,Napoli Femminile
Napoli Femminile vs Ravenna Women 1-1 | Highlights,3,451,1,@lucaromano8050,Avete rischiato di perdere,0,Napoli Femminile
Napoli Femminile vs Ravenna Women | Giulia Ferrandi - Match preview,2,56,1,@lucaromano8050,Forza,0,Napoli Femminile
Chievo Women vs Napoli Femminile | Adriana Gomes - Intervista,8,102,1,@lucaromano8050,Brave,0,Napoli Femminile
Chievo Women vs Napoli Femminile | Aurora De Sanctis - Match preview,4,74,1,@lucaromano8050,Forza,0,Napoli Femminile
#TuristePerCalcio Ep. 1 - Romina Pinna a Palazzo Venezia,3,53,1,@lucaromano8050,Forza Napoli,0,Napoli Femminile
Napoli Femminile vs Tavagnacco 6-0 | Highlights,8,484,1,@serginming7749,Tennis al Cercola 6a0 Grande Prova del Napoli Femminile che riscatta ampiamente la sconfitta col Cittadella ❤💙🙋‍♂️,0,Napoli Femminile
Arezzo vs Napoli Femminile 0-2 | Elisa del Estal - Intervista,3,116,1,@brunabuonocore4973,Forza Napoli,0,Napoli Femminile
Arezzo vs Napoli Femminile | Claudia Mauri - Match preview,7,77,1,@serginming7749,Questa volta ce l avete fatta Brava Mauri e brave Ragazze🤠,0,Napoli Femminile
Napoli Femminile vs Lazio 2-0 | Highlights,11,690,1,@lucaromano8050,Ragazze vi auguro tanto bene grazie,0,Napoli Femminile
