Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Jonathan Tah's first day at FC Bayern | Behind the Scenes,19511,556871,962,@bambakhanadji9539,Bamba khanadji depuis le Senegal 🇸🇳 fier d être un bavarois❤️,6,FC Bayern München
We asked the boys about their favorite christmas movie! 🎬🎄,27929,722551,156,@SC_310,Laimer starred in home alone,0,FC Bayern München
FC Bayern พาย้อนความทรงจำในประเทศไทย กับรายการ ‘Fan Crossover’ 🇹🇭,53,521,3,@karstenlink3921,"Ich hoffe seit ungefähr 50 Jahren immer auf Bayern Siege. Aber als Fan würde ich mich ehrlicherweise nicht bezeichnen. 'Mir san mir' - von einem Deutschen, der in Thailand lebt.",2,FC Bayern München
Pressetalk nach dem 3:2 Sieg gegen FC St. Pauli | Bundesliga,1087,42083,239,@andrearust5364,"Das war ein Spiel über weite Strecken auf Augenhöhe. St. Pauli hat es gut gemacht und ein Gier gezeigt, die fast den FC Bayern zum stolpern gebracht hätte. Ich habe geschwitzt ohne Ende. Geiles Spiel. St. Pauli wünsche ich alles Gute, ein symphytischer Verein welcher der ersten Liga richtig gut tut. ❤❤❤❤👍👍👍👍👍👍",3,FC Bayern München
We asked the boys about their favorite christmas movie! 🎬🎄,27929,722551,156,@TeivTv,"Weihnachts Mann und CoKg Nostalgie pur, merkt man aber auch wie jung Ibrahimovic noch ist😂",394,FC Bayern München
Olise on fire 🔥,133829,3512974,253,@ehrenlosesgaming,What was this pass from Kane 😭,0,FC Bayern München
BACK TO WORK! | Inside dressing room after the winter break ❄️,6233,220130,154,@Lsea.f44,0:31 Naja wenn man vor paar Wochen Papa geworden ist das normal.,2,FC Bayern München
Müller scores and the arena goes crazy 🗣️ | Champions League Behind The Scenes,1206,35516,128,@AndreitheReznikov,Goosebumps,1,FC Bayern München
✨ Where it all began – The magical place where FC Bayern was founded! 📽🔴⚪,11726,400847,531,@lausimeyer6558,"0:25 - nach dem Benno Elkan (rechts oben) ist bei uns im Ort eine Straße (Benno-Elkan-Allee)  benannt. Und auf den Erklärschildchen dazu steht NICHTS vom FC Bayern. Wenn die Schüler das wüssten, deren Schulen sich in der Allee befinden...",0,FC Bayern München
Pressetalk nach dem 4:2-Heimsieg gegen Heidenheim | Bundesliga,1677,61625,229,@feedthemonkey83,"""Ich versuchs mal kurz zu machen"" 🤣",0,FC Bayern München
Our last UCL match was like 😮‍💨,229008,5723952,1761,@Fussball230,Olise ❤,0,FC Bayern München
Pressetalk vor FC Bayern - Borussia Dortmund | Bundesliga,1761,58509,328,@volki1962,"Die Luft wird dünner Herr Kompany, die Wechsel und Startaufstellungen unglücklich, gegen Dortmund und Mailand müssen Siege her, sonst könnte es am Ende der Saison wieder ohne Titel ausgehn, dann hat der Hype um ihn ein schnelles Ende🤷‍♂️",0,FC Bayern München
"We face Leverkusen! That's what Müller, Laimer & Davies say about the round of 16 draw",2731,68773,183,@simpics-simonschneider,Geiler Typ der Müller 💪👍,0,FC Bayern München
Pressetalk nach FC Barcelona - FC Bayern 4:1 | Champions League,1888,91391,583,@USER-f2i8m,Müllers Traurigkeit macht mich so glücklich. Visca BARÇA,1,FC Bayern München
Top 10 Kimmich Goals for FC Bayern,7861,359125,227,@lacocadominaraelmundolacoc8781,Kimmich mentaly,0,FC Bayern München
"Cheer up, Jamal! 😄",17368,1267971,115,@juanjosegr848,Vamos bayern hay que marcar el segundo gol,0,FC Bayern München
Can Sané & Olise beat Müller & Davies? 👀 | Football tennis in FC Bayern training,3132,88009,75,@DanielRenaldy-y4v,"Jay Idzes (24 years old, CB, Venezia, Serie A) is a good player to buy.

Jay Idzes is a football player from Indonesia. He is the captain of Indonesia national football team. It will be a very good for business if Bayern Munich club buy him.

Indonesia population is around 250 millions people and 80% of the population is loves football. Imagine how much money you can get if 80% of 250 million Indonesia people buy Jay Idzes merchandise",1,FC Bayern München
The new normal | More than 90 minutes presented by Allianz – S2 – EP1,1715,51794,37,@onemillion_85,Wann kommen die Folge immer?,0,FC Bayern München
Kompany & Eberl zum Kader + den Zielen 2025 | PK vor Gladbach - FC Bayern | Bundesliga,2082,73032,215,@alfredmiruku8564,"Think Bayern…..!during the game,no matter what…..!!?(situation)-wil be your turn-chance….!about challenges…..?!?!?!😊",1,FC Bayern München
We asked the boys about their favorite christmas movie! 🎬🎄,27929,722551,156,@rob7146,Kevin allein in New York!,0,FC Bayern München
Dier & Kane made history with this one! 🏴󠁧󠁢󠁥󠁮󠁧󠁿,74656,1375611,375,@RomanQwest,"Omg Piers asked him whats wrong with president of a war country to be dressed informally, not in tracksuit, just to highlight, the clown then goes to explain the different types of ""bespoke tracksuits"" which zelenskiy has, and he knows the colooours, etc... maybe if people didnt focus on this, the peace would already be... absolute clowns, anyone who is actually considering ""tracksuit"" as a valid point. Well what else are they going to talk about? When Zelenskiy is clearly right and you have no other points to argue about! Other than ""tracksuit""!!! This is a clear signal that America is not interested in justice and truth, but only money...",0,FC Bayern München
Our last UCL match was like 😮‍💨,229008,5723952,1761,@NobodyCares-n2w,Ankara Olise,0,FC Bayern München
Defeat in Rotterdam | Feyenoord Rotterdam vs. FC Bayern 3-0 | Champions League,11438,772533,705,@Jan-t9g6n,Kimmich unfassbar schlecht mit seinen drecks pässen,0,FC Bayern München
"""Die erste Hälfte ist geschafft"" | PK nach FC Bayern - Bayer Leverkusen 3:0 | Champions League",2955,100556,179,@selimsobia,Kimmich hat das Mittelfeld kommandiert. Jamal ist ein Magier.,37,FC Bayern München
🥹🥹🥹❤️ #MiaSanMia #FCBayern #MÜLLLLLLEEEER,24668,838275,196,@Thomas-tl3qd,Ein Wort: Legende,49,FC Bayern München
"Danke, Thomas! Cheers to a True Legend – with Paulaner 🍻",1879,32199,102,@batuhanözdemir-b3j,"Du bist mein Lieblingsschauspieler. Ich wünschte, wir könnten uns persönlich treffen. danke Müller",4,FC Bayern München
Laimer vs. Coman – the ultimate battle! 😅,465427,20661377,579,@Demokratur-ks8lq,Mein Gott alles ist verloren,0,FC Bayern München
#Musiala2030 - All the reactions on Jamal Musiala's contract extension,6540,115623,373,@pierreb.7763,Und alle hater halten ihre fresse !!! Nur der FCB,1,FC Bayern München
WHAT IT MEANS! 🍻🏆,97070,4184369,1052,@JasonJust-t4z,🇲🇨🇲🇨🇲🇨🇲🇨🎉♥️♥️♥️♥️♥️♥️🤍🤍🤍🏟️⚽⚽🏆🏆🏆🏆🏆🏆🏆 FC Bayern München,1,FC Bayern München
"""Haben sehr sehr gut gearbeitet"" | Pressetalk vor dem ""Süd-Schlager"" gegen Stuttgart",2163,73693,207,@lightsoul9739,"Ich finde Kompany hat schon eine starke Entwicklung in der PR-Arbeit hingelegt. Wirkte er (verständlicherweise) zu Beginn bei den ""dummen Reporterfragen"" häufig wortkark und genervt, hat er mittlerweile gelernt auch diese Fragen gut zu moderieren. Bayern ist nunmal ein Verein der großes Interesse auf sich zieht, auch eben von der Boulevard-Presse. Auch solche ""unnötigen"" Fragen adequat zu moderieren ist wichtig um die Ruhe im und um den Verein zu wahren.",8,FC Bayern München
Alphonso Davies - München my Throne (Official Music Video),58772,932486,1894,@abovematrix5422,🥶,0,FC Bayern München
"THANK YOU, THOMAS!",18443,552433,305,@rockstar4095,Love from Trinidad . Thanks for the love of football ⚽️,3,FC Bayern München
"""Eine sehr gute Leistung"" | Pressetalk nach dem 4:0-Sieg gegen Stuttgart | 7. Spieltag",2766,102415,176,@toomuchBeer,Sebastian Hoeneß mega sympathisch,4,FC Bayern München
Jamal and his little brother on set! | BTS at the filming of Musiala's contract extension 📝,5368,178164,115,@อารมณ์คุ้มเขต,👍👍❤️,0,FC Bayern München
The new stadium anthem of FC Bayern - a present by the Südkurve München 🎶,28998,847999,1616,@prascoooooo,Goosebumps! Forever FC Bayern!,3,FC Bayern München
Artist. Inspiring. Magical. Genius. One of us. 𝐇𝐄 𝚰𝐒 𝐇𝚰𝐌. #Musiala2030,6572,58860,106,@mosesstuck3007,❤️,2,FC Bayern München
HISTORIC WIN AT OUR OPENING MATCH | FC Bayern - Auckland City FC | FIFA Club World Cup Highlights,4511,218676,305,@brakmann,Une Dinguerie !!!!😳,0,FC Bayern München
"We love you, Thomas! ❤️🤍",17576,369414,246,@ChinonsoNnacho,We love you Thomas stay 🥹,0,FC Bayern München
